file,model,table,description,lineageTag
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_1f869c18-ea90-40a4-b61a-3cc194e9381c.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_1f869c18-ea90-40a4-b61a-3cc194e9381c,System: Auto-generated date table used by Power BI for local date hierarchies.,a91c756a-b0ef-4094-9c20-3a941cfcb6b6
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_232a4d30-1f89-4ca5-b5ac-9b271e7770d0.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_232a4d30-1f89-4ca5-b5ac-9b271e7770d0,System: Auto-generated date table used by Power BI for local date hierarchies.,05736594-9025-4a79-a372-38c322d3d786
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_247fea33-3d02-42b6-9eb8-34e4bc0b4b27.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_247fea33-3d02-42b6-9eb8-34e4bc0b4b27,System: Auto-generated date table used by Power BI for local date hierarchies.,ac18751f-6962-40f0-bc85-8d17db55f9e2
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_2720c721-e2f2-4d36-a491-4a5c0ee8b2b6.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_2720c721-e2f2-4d36-a491-4a5c0ee8b2b6,System: Auto-generated date table used by Power BI for local date hierarchies.,279c3c42-0689-446b-b0bd-08979fd42101
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_28e862d0-6e5a-47c3-ae31-d7ff8503cf73.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_28e862d0-6e5a-47c3-ae31-d7ff8503cf73,System: Auto-generated date table used by Power BI for local date hierarchies.,4537aa3e-1145-4f2e-8ece-36e0f7a76d6a
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_29eafee9-9420-4f61-839f-959fae174886.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_29eafee9-9420-4f61-839f-959fae174886,System: Auto-generated date table used by Power BI for local date hierarchies.,4921adeb-a9cc-4ea5-997a-e03be2e23783
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_3035c574-0a99-49e2-a887-8c086e67dd9f.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_3035c574-0a99-49e2-a887-8c086e67dd9f,System: Auto-generated date table used by Power BI for local date hierarchies.,c9184c8d-ed5d-41ed-93dc-4ece553dd197
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_381dbc52-ebb8-4632-8fdc-9edf2a862d87.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_381dbc52-ebb8-4632-8fdc-9edf2a862d87,System: Auto-generated date table used by Power BI for local date hierarchies.,eeacf530-5f2c-428d-b605-a8d16fbd62a4
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_3b9b047b-1244-4a6b-8608-ccd748bd7932.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_3b9b047b-1244-4a6b-8608-ccd748bd7932,System: Auto-generated date table used by Power BI for local date hierarchies.,7d5df24b-43ae-4306-a09b-5668d8c5b36f
powerbi\src\Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel\definition\tables\LocalDateTable_3cf76079-fb90-447d-bedf-f1e0abb80cc4.tmdl,Dataset - Azure Data Lake - Automatic Data Enhancement.SemanticModel,LocalDateTable_3cf76079-fb90-447d-bedf-f1e0abb80cc4,System: Auto-generated date table used by Power BI for local date hierarchies.,57ad126d-09f9-439a-b14d-2889c2447c7b
