"report","tab","page_id","visual_id","uses_managers_direct","uses_managers_total","visual_path"
"Utility Box Report.Report","Analysis Export - Users","ReportSection0d7789146e205d7e67bd","304de938b6ed0948d432","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSection0d7789146e205d7e67bd\visuals\304de938b6ed0948d432\visual.json"
"Utility Box Report.Report","Detailed Calibration","ReportSectione72f4b35184d90d39744","086da23e18ede59ac0d5","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSectione72f4b35184d90d39744\visuals\086da23e18ede59ac0d5\visual.json"
"Utility Box Report.Report","Detailed Calibration","ReportSectione72f4b35184d90d39744","48d23bd43e5235724844","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSectione72f4b35184d90d39744\visuals\48d23bd43e5235724844\visual.json"
"Utility Box Report.Report","Detailed Calibration","ReportSectione72f4b35184d90d39744","ba340c608b852077dd92","False","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSectione72f4b35184d90d39744\visuals\ba340c608b852077dd92\visual.json"
"Utility Box Report.Report","LLM Classification Analysis","aec7d7d514ed891e59ab","1b737cf277307da0cb95","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\aec7d7d514ed891e59ab\visuals\1b737cf277307da0cb95\visual.json"
"Utility Box Report.Report","LLM Classification Analysis","aec7d7d514ed891e59ab","84442ebdcc962d307dc4","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\aec7d7d514ed891e59ab\visuals\84442ebdcc962d307dc4\visual.json"
"Utility Box Report.Report","Opps Verification Summary","ReportSection05179fa4982b5daaab4c","1799d1f1c7057000810c","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSection05179fa4982b5daaab4c\visuals\1799d1f1c7057000810c\visual.json"
"Utility Box Report.Report","Opps Verification Summary","ReportSection05179fa4982b5daaab4c","bee372302b2eaa86c87d","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSection05179fa4982b5daaab4c\visuals\bee372302b2eaa86c87d\visual.json"
"Utility Box Report.Report","Owners & Creators","ReportSection94a70202746d362656ab","b5e298b1491d7e7d67bd","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSection94a70202746d362656ab\visuals\b5e298b1491d7e7d67bd\visual.json"
"Utility Box Report.Report","Owners & Creators","ReportSection94a70202746d362656ab","f7d3fd792aea9a103085","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\ReportSection94a70202746d362656ab\visuals\f7d3fd792aea9a103085\visual.json"
"Utility Box Report.Report","Performance Metrics - Coefficiency Correlation","7551bbe910dab90880c9","7fc58d10304721b06bad","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\7551bbe910dab90880c9\visuals\7fc58d10304721b06bad\visual.json"
"Utility Box Report.Report","Performance Metrics - Coefficiency Correlation","7551bbe910dab90880c9","8d61a13742e1e83a34e6","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\7551bbe910dab90880c9\visuals\8d61a13742e1e83a34e6\visual.json"
"Utility Box Report.Report","Performance Metrics - Individual User vs Peers","231bf67b4a9c6000ae9c","95df6745d3521c76add5","True","True","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\231bf67b4a9c6000ae9c\visuals\95df6745d3521c76add5\visual.json"
"Utility Box Report.Report","Performance Metrics - Individual User vs Peers","231bf67b4a9c6000ae9c","fee6019c913198ca00e8","True","False","c:\Users\filip\OneDrive\Desktop\IntegrationHub\powerbi\src\Utility Box Report.Report\definition\pages\231bf67b4a9c6000ae9c\visuals\fee6019c913198ca00e8\visual.json"
