"[Model]","[Score Name]","[Boost Expo]","[Raw Factor]","[Direct Score]","[Wrapped Score]","[Factor1 Helper]"
"Utility","Activity Capture Level","0.6","0.780948964878917","0.780948964878917","86.2131656445175","0.78"
"ADE","Activity Capture Level","0.6","0.780948964878917","78.0948964878917","78.0948964878917","0.78"
