8de0e48ffb1551635d9a	pivotTable	ssr_history.meas.ssr_history_ssr_id_count	# Opps
8de0e48ffb1551635d9a	pivotTable	ssr_history.meas.ssr_history_success_count	# of Won Deals
8de0e48ffb1551635d9a	pivotTable	ssr_history.meas.ssr_history_success_rate	Win Rate
8de0e48ffb1551635d9a	pivotTable	Sum(ssr_history.step_length_in_days)	Avg. Cycle Length (Days)
8de0e48ffb1551635d9a	pivotTable	ssr_history.meas.ssr_history_rev_avg_won_amt	Avg. Booking Amt.
8de0e48ffb1551635d9a	pivotTable	ssr_history.meas.ssr_history_won_amt	Tot. Booking Amt. 
8de0e48ffb1551635d9a	pivotTable	ssr_history.meas.ssr_history_reps	# Unique Reps
8e26273e3ad092a2a911	slicer	ssr.trueai_address_country	
9262c3be4a6789671701	slicer	users.trueai_termination_date.Variation.Date Hierarchy.Year	
954f35e2be521d1c6759	card	ssr_history.meas.ssr_history_vi_value_created_per_hr	Value/Hr
9a938dd1023ffe095b5e	slicer	ssr.crm_account_custom_value_1	
9df59594328c6ad27494	pivotTable	ssr_history.meas.ssr_history_ssr_id_count	# Opps
9df59594328c6ad27494	pivotTable	ssr_history.meas.ssr_history_success_count	# of Won Deals
9df59594328c6ad27494	pivotTable	ssr_history.meas.ssr_history_success_rate	Win Rate
9df59594328c6ad27494	pivotTable	Sum(ssr_history.step_length_in_days)	Avg. Cycle Length (Days)
9df59594328c6ad27494	pivotTable	ssr_history.meas.ssr_history_rev_avg_won_amt	Avg. Booking Amt.
9df59594328c6ad27494	pivotTable	ssr_history.meas.ssr_history_won_amt	Tot. Bookings
9df59594328c6ad27494	pivotTable	ssr_history.meas.ssr_history_reps	# Unique Reps
9f84a9533d5db88e11d2	slicer	ssr.trueai_address_country	
a0a1bcbb0a79ad10b620	slicer	ssr_history.entity_crm_custom_value_3	
a57c669a5ca20330368e	card	ssr_history.meas.ssr_history_vi_value_created_per_hr	Value/Hr
a73d8fbd1afc0ef940b4	slicer	ssr.crm_account_custom_value_3	
acb08b28788b9663dca7	slicer	ssr.crm_account_custom_value_2	
b0902d708ae174fc164a	card	ssr_history.meas.ssr_history_success_rate	Actual
b5d998b544fae6d7ba29	card	ssr_history.meas.ssr_history_duration_hrs_post_sales	
ba28a91873fd70b544e0	slicer	ssr_history.account_crm_custom_value_2	
bf912cdcc1881c9257c2	card	ssr_history.meas.ssr_history_duration_hrs_prospecting	
c01d8f542d0b905217ff	slicer	ssr.trueai_company_size	
c4d5ebd7ca6efee680f8	slicer	users.trueai_full_name	
c6313c7ab9ebe172c638	card	ssr_history.meas.ssr_history_vi_value_created_per_hr	Value/Hr
c6ce221fb7e5bc0f697f	pivotTable	Sum(ssr_history.step_success_prob)	Predicted Success (DI) ²
c6ce221fb7e5bc0f697f	pivotTable	ssr_history.meas.ssr_history_duration_hrs_post_sales_sales_process_step	Tot. Time Spent Post-Sales ³
c6ce221fb7e5bc0f697f	pivotTable	ssr_history.meas.ssr_history_duration_hrs_per_step	Time Spent per Attempt (CI) ³
c6ce221fb7e5bc0f697f	pivotTable	ssr_history.meas.ssr_history_vi_value_created	Value Created (VI) ⁴
c6ce221fb7e5bc0f697f	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_hr	Value Created / Hr (VI) ⁴
c6ce221fb7e5bc0f697f	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_rep	Value / Rep (VI) ⁴
cb101a64961caacb709f	slicer	ssr_history.step_sub_type	
cbda59ccc580de8ffcd5	slicer	users.trueai_user_role_department	
d526b95da4801717f5eb	pivotTable	Sum(ssr_history.step_success_prob)	Predicted Success (DI) ²
d526b95da4801717f5eb	pivotTable	ssr_history.meas.ssr_history_duration_hrs_existing_customer_selling_sales_process_step	Tot. Time Spent Existing Cust. Selling ³
d526b95da4801717f5eb	pivotTable	ssr_history.meas.ssr_history_duration_hrs_per_step	Adj. Time Spent per Attempt (CI) ³
d526b95da4801717f5eb	pivotTable	ssr_history.meas.ssr_history_vi_value_created	Value Created (VI) ⁴
d526b95da4801717f5eb	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_hr	Value Created / Hr (VI) ⁴
d526b95da4801717f5eb	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_rep	Value / Rep (VI) ⁴
d8826e27a7348b2c4c81	pivotTable	Sum(ssr_history.step_success_prob)	Predicted Success (DI) ²
d8826e27a7348b2c4c81	pivotTable	ssr_history.meas.ssr_history_duration_hrs_prospecting_sales_process_step	Tot. Time Spent Prosp.³
d8826e27a7348b2c4c81	pivotTable	ssr_history.meas.ssr_history_duration_hrs_per_step	Adj. Time Spent per Attempt (CI) ³
d8826e27a7348b2c4c81	pivotTable	ssr_history.meas.ssr_history_vi_value_created	Value Created (VI) ⁴
d8826e27a7348b2c4c81	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_hr	Value Created / Hr (VI) ⁴
d8826e27a7348b2c4c81	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_rep	Value / Rep (VI) ⁴
ddeb59ae2b476179766e	slicer	opps.crm_custom_value_3	
de285961de02b7eeb23f	card	ssr_history.meas.ssr_history_success_prob_avg	Predicted
dfbab0fa81d254e4cc9b	card	ssr_history.meas.ssr_history_success_prob_avg	Predicted
e0aaf1dad1218415ea7c	card	ssr_history.meas.ssr_history_success_rate	Actual
e6d48a11a011ba446b02	slicer	ssr.col.trueai_leadsource_inbound_outbound	
e8c79d57c7d3b5780ae0	pivotTable	Sum(ssr_history.step_success_prob)	Predicted Success (DI) ²
e8c79d57c7d3b5780ae0	pivotTable	ssr_history.meas.ssr_history_duration_hrs_new_logo_sales_process_step	Tot. Time Spent New Logo ³
e8c79d57c7d3b5780ae0	pivotTable	ssr_history.meas.ssr_history_duration_hrs_per_step	Adj. Time Spent per Attempt (CI) ³
e8c79d57c7d3b5780ae0	pivotTable	ssr_history.meas.ssr_history_vi_value_created	Value Created (VI) ⁴
e8c79d57c7d3b5780ae0	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_hr	Value Created / Hr (VI) ⁴
e8c79d57c7d3b5780ae0	pivotTable	ssr_history.meas.ssr_history_vi_value_created_per_rep	Value / Rep (VI) ⁴
ea29b326a95cc4fd3daa	slicer	managers_total.trueai_full_name	
ea4a05805205e064e6cd	slicer	ssr_history.entity_crm_custom_value_2	
eb2a13379868c2fbbb8e	slicer	users.col.is_ext_match_id	
f8e4fcda717179e1dfab	card	ssr_history.meas.ssr_history_duration_hrs_new_logo	
f9893af107f9a9fc4db2	slicer	ssr.trueai_industry	
fd34b18e5398698aae7f	slicer	ssr_history.step_name	
fd34b18e5398698aae7f	slicer	ssr_history.step_sub_type	
