"[Model]","[Score Name]","[Boost Expo]","[Raw Factor]","[Direct Score]","[Wrapped Score]","[Factor1 Helper]","[Factor2 Helper]","[Avg Conf Raw]","[User Rows]","[Distinct Users]"
"Utility","Time Allocation","0.7","0.69487966809954","0.69487966809954","77.5062497082794","1","","0.69487966809954","54","27"
"ADE","Time Allocation","0.7","21","69.487966809954","69.487966809954","21","25","0.69487966809954","54","27"
