"measure","table","inbound_measure_refs","report_refs","visual_refs"
"meas.opps_trueai_sales_type","ssr_history","0","0","0"
"meas.opps_trueai_stage","ssr_history","0","0","0"
"meas.owner_full_name","ssr_history","0","0","0"
"meas.pipeline_amt_sum","ssr_history","0","0","0"
"meas.sales_booking_amt","ssr_history","0","0","0"
"meas.ssr_first_touch_date","ssr_history","0","0","0"
"meas.ssr_funnel_stage_progression","ssr_history","0","0","0"
"meas.ssr_history_acct_count_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_acct_count_new_logo","ssr_history","0","0","0"
"meas.ssr_history_acct_count_post_sales","ssr_history","0","0","0"
"meas.ssr_history_acct_count_prospecting","ssr_history","0","0","0"
"meas.ssr_history_acct_count_untouched","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_existing_business","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_existing_business_supported","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_existing_business_upsold_to","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_existing_business_won","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_new_business","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_new_business_won","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_new_logo","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_new_logo_prospecting","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_post_sales","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_post_sales_existing_customer_selling","ssr_history","0","0","0"
"meas.ssr_history_accts_per_rep_prospecting","ssr_history","0","0","0"
"meas.ssr_history_active_avg_sales_cycle","ssr_history","0","0","0"
"meas.ssr_history_active_deal_size","ssr_history","0","0","0"
"meas.ssr_history_active_deals_count","ssr_history","0","0","0"
"meas.ssr_history_active_list_reps_count","ssr_history","0","0","0"
"meas.ssr_history_active_open_pipe_amt","ssr_history","0","0","0"
"meas.ssr_history_active_tot_open_pipeline_amt","ssr_history","0","0","0"
"meas.ssr_history_active_user_booking_amt_mtd","ssr_history","0","0","0"
"meas.ssr_history_active_user_booking_amt_qtd","ssr_history","0","0","0"
"meas.ssr_history_active_user_booking_amt_ytd","ssr_history","0","0","0"
"meas.ssr_history_active_user_full_name_role_group","ssr_history","0","0","0"
"meas.ssr_history_active_user_pipeline_amt_mtd","ssr_history","0","0","0"
"meas.ssr_history_active_user_pipeline_amt_qtd","ssr_history","0","0","0"
"meas.ssr_history_active_user_pipeline_amt_ytd","ssr_history","0","0","0"
"meas.ssr_history_all_email_engagement_rate","ssr_history","0","0","0"
"meas.ssr_history_all_meeting_engagement_rate","ssr_history","0","0","0"
"meas.ssr_history_all_phone_call_count","ssr_history","0","0","0"
"meas.ssr_history_all_phone_call_engagement_rate","ssr_history","0","0","0"
"meas.ssr_history_all_reps_count","ssr_history","0","0","0"
"meas.ssr_history_all_social_media_engagement_rate","ssr_history","0","0","0"
"meas.ssr_history_all_social_media_engagement_rate-test","ssr_history","0","0","0"
"meas.ssr_history_asof_open_pipeline_adj_amt_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_asof_open_pipeline_age_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_asof_open_pipeline_amt_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_asof_open_pipeline_count_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_asof_open_pipeline_days_pushed_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_asof_open_pipeline_win_prob_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_avg_act_capt_lvl","ssr_history","0","0","0"
"meas.ssr_history_avg_adj_non_eng_duration_hrs","ssr_history","0","0","0"
"meas.ssr_history_avg_booking_amt","ssr_history","0","0","0"
"meas.ssr_history_avg_initial_actual_amt_diff","ssr_history","0","0","0"
"meas.ssr_history_avg_new_logo_won_amt","ssr_history","0","0","0"
"meas.ssr_history_avg_next_steps_prob","ssr_history","0","0","0"
"meas.ssr_history_avg_opp_initial_booking_amt","ssr_history","0","0","0"
"meas.ssr_history_avg_pred_conv_rate_mtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_avg_pred_conv_rate_qtd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_avg_pred_conv_rate_ytd_sply_diff","ssr_history","0","0","0"
"meas.ssr_history_avg_pushed_pulled_days_diff","ssr_history","0","0","0"
"meas.ssr_history_avg_won_amt_diff","ssr_history","0","0","0"
