"measure","table","inbound_measure_refs","report_refs","visual_refs"
"meas.ssr_open_leads_avg_prediction_conv_rate","ssr_history","0","0","0"
"meas.ssr_open_leads_count","ssr_history","0","0","0"
"meas.ssr_open_trueai_industry","ssr_history","0","0","0"
"meas.ssr_total_abandoned_leads_count","ssr_history","0","0","0"
"meas.ssr_total_ignored_leads_count","ssr_history","0","0","0"
"meas.ssr_total_open_leads_count","ssr_history","0","0","0"
"meas.ssr_total_untouched_leads_count","ssr_history","0","0","0"
"meas.step_outcome","ssr_history","0","0","0"
"meas.step_owner_group","ssr_history","0","0","0"
"meas.step_owner_user_role_aliased","ssr_history","0","0","0"
"meas.step_users_total","ssr_history","0","0","0"
"meas.stkhlds_all_act_counts","ssr_history","0","0","0"
"meas.stkhlds_all_act_eng_counts","ssr_history","0","0","0"
"meas.stkhlds_all_contacts_count","ssr_history","0","0","0"
"meas.stkhlds_all_first_act","ssr_history","0","0","0"
"meas.stkhlds_all_last_act","ssr_history","0","0","0"
"meas.stkhlds_all_last_act_days","ssr_history","0","0","0"
"meas.stkhlds_all_last_eng","ssr_history","0","0","0"
"meas.stkhlds_all_non_eng_counts","ssr_history","0","0","0"
"meas.stkhlds_primary_contact_card_title","ssr_history","0","0","0"
"meas.stkhlds_primary_contact_first_eng","ssr_history","0","0","0"
"meas.stkhlds_primary_contact_last_act","ssr_history","0","0","0"
"meas.stkhlds_primary_contact_last_eng","ssr_history","0","0","0"
"meas.stkhlds_primary_contact_seniority","ssr_history","0","0","0"
"meas.stkhlds_primary_contact_title_department","ssr_history","0","0","0"
"meas.stkhlds_primary_contact_title_seniority","ssr_history","0","0","0"
"meas.stkhlds_primary_full_name","ssr_history","0","0","0"
"meas.stkhlds_primary_last_act","ssr_history","0","0","0"
"meas.stkhlds_seconary_contact_title","ssr_history","0","0","0"
"meas.stkhlds_secondary_contact_card_title","ssr_history","0","0","0"
"meas.stkhlds_secondary_contact_first_act","ssr_history","0","0","0"
"meas.stkhlds_secondary_contact_first_eng","ssr_history","0","0","0"
"meas.stkhlds_secondary_contact_last_act","ssr_history","0","0","0"
"meas.stkhlds_secondary_contact_last_eng","ssr_history","0","0","0"
"meas.stkhlds_secondary_contact_title_department","ssr_history","0","0","0"
"meas.stkhlds_secondary_contact_title_seniority","ssr_history","0","0","0"
"meas.stkhlds_secondary_full_name","ssr_history","0","0","0"
"meas.stkhlds_secondary_last_act","ssr_history","0","0","0"
"meas.ta_ssr_history_all_activity_engagement_rate","ssr_history","0","0","0"
"meas.ta_ssr_history_all_email_engagement_rate","ssr_history","0","0","0"
"meas.ta_ssr_history_all_meeting_engagement_rate","ssr_history","0","0","0"
"meas.ta_ssr_history_all_phone_call_engagement_rate","ssr_history","0","0","0"
"meas.ta_ssr_history_all_social_media_engagement_rate","ssr_history","0","0","0"
"meas.test_done.average_duration_hrs","ssr_history","0","0","0"
"meas.tot_lost_amt_opps","ssr_history","0","0","0"
"meas.tot_pushed_pulled_close_date","ssr_history","0","0","0"
"meas.tot_won_amt_opps","ssr_history","0","0","0"
"meas.total_opps_count_dist","ssr_history","0","0","0"
"meas.total_opps_won_amt","ssr_history","0","0","0"
"meas.total_won_opps","ssr_history","0","0","0"
"meas.trueai_addr_city","ssr_history","0","0","0"
"meas.trueai_addr_state","ssr_history","0","0","0"
"meas.trueai_company_size","ssr_history","0","0","0"
"meas.trueai_curr_acv","ssr_history","0","0","0"
"meas.trueai_first_purchase","ssr_history","0","0","0"
"meas.trueai_leadsource_name","ssr_history","0","0","0"
"meas.trueai_propensity","ssr_history","0","0","0"
"meas.user_history_active_hire_date","ssr_history","0","0","0"
"meas.users_overview_avg_pred_conv_rate_diff","ssr_history","0","0","0"
"meas.users_overview_win_rate_diff","ssr_history","0","0","0"
"meas.users_spent_weekly_avg_non_eng_dur_hr_mtd","ssr_history","0","0","0"
"meas.users_weekly_avg_eng_rate_mtd","ssr_history","0","0","0"
"meas.users_weekly_avg_eng_rate_qtd","ssr_history","0","0","0"
"meas.users_weekly_avg_eng_rate_ytd","ssr_history","0","0","0"
"meas.users_weekly_avg_non_eng_dur_hr_mtd","ssr_history","0","0","0"
"meas.users_weekly_avg_non_eng_dur_hr_qtd","ssr_history","0","0","0"
"meas.users_weekly_avg_non_eng_dur_hr_ytd","ssr_history","0","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_mtd","ssr_history","0","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_mtd_sply","ssr_history","0","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_qtd","ssr_history","0","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_qtd_sply","ssr_history","0","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_ytd","ssr_history","0","0","0"
"meas.users_weekly_existing_customer_selling_avg_dur_hr_ytd_sply","ssr_history","0","0","0"
"meas.users_weekly_internal_avg_dur_hr_mtd","ssr_history","0","0","0"
"meas.users_weekly_internal_avg_dur_hr_mtd_sply","ssr_history","0","0","0"
"meas.users_weekly_internal_avg_dur_hr_qtd","ssr_history","0","0","0"
"meas.users_weekly_internal_avg_dur_hr_qtd_sply","ssr_history","0","0","0"
"meas.users_weekly_internal_avg_dur_hr_ytd","ssr_history","0","0","0"
"meas.users_weekly_internal_avg_dur_hr_ytd_sply","ssr_history","0","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_mtd","ssr_history","0","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_mtd_sply","ssr_history","0","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_qtd","ssr_history","0","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_qtd_sply","ssr_history","0","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_ytd","ssr_history","0","0","0"
"meas.users_weekly_new_logo_avg_dur_hr_ytd_sply","ssr_history","0","0","0"
"meas.users_weekly_post_sales_avg_dur_hr_mtd","ssr_history","0","0","0"
"meas.users_weekly_post_sales_avg_dur_hr_mtd_sply","ssr_history","0","0","0"
"meas.users_weekly_post_sales_avg_dur_hr_qtd","ssr_history","0","0","0"
"meas.users_weekly_post_sales_avg_dur_hr_qtd_sply","ssr_history","0","0","0"
"meas.users_weekly_post_sales_avg_dur_hr_ytd","ssr_history","0","0","0"
"meas.users_weekly_post_sales_avg_dur_hr_ytd_sply","ssr_history","0","0","0"
"meas.users_weekly_prospecting_avg_dur_hr_mtd","ssr_history","0","0","0"
"meas.users_weekly_prospecting_avg_dur_hr_mtd_sply","ssr_history","0","0","0"
"meas.users_weekly_prospecting_avg_dur_hr_qtd","ssr_history","0","0","0"
"meas.users_weekly_prospecting_avg_dur_hr_qtd_sply","ssr_history","0","0","0"
"meas.users_weekly_prospecting_avg_dur_hr_ytd","ssr_history","0","0","0"
"meas.users_weekly_prospecting_avg_dur_hr_ytd_sply","ssr_history","0","0","0"
"meas.ytd_sales","ssr_history","0","0","0"
"OLD.meas.ssr_history_duration_hrs_per_step","ssr_history","0","0","0"
